精选内容,#genre#
李子柒,https://hw.flv.huya.com/src/1199512837905-1199512837905-5226813369159254016-2399025799266-10057-A-0-1.m3u8
李子柒,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
李子柒,http://fangsong.live/hls/huya.php?id=21969336
李子柒,http://fangsong.live/hls/douyu.php?id=2901080
山药视频,http://fangsong.live/hls/douyu.php?id=4262598
山药视频,https://hw.flv.huya.com/src/1199511962590-1199511962590-5223053919860555776-2399024048636-10057-A-0-1.m3u8
良少聊漫威,https://hw.flv.huya.com/src/1199582668017-1199582668017-5526731416475271168-2399165459490-10057-A-0-1.m3u8
喜剧专场,https://hw.flv.huya.com/src/1524434089-1524434089-6547394557162553344-3048991634-10057-A-0-1.m3u8
大自然纪录片,https://hw.flv.huya.com/src/1199563517421-1199563517421-5444480232956362752-2399127158298-10057-A-0-1.m3u8
动物世界,https://hw.flv.huya.com/src/1199573184125-1199573184125-5485998410496475136-2399146491706-10057-A-0-1.m3u8
漫威,https://hw.flv.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1.m3u8
高分经典国语电影,http://fangsong.live/hls/douyu.php?id=24844959
哈利波特,http://fangsong.live/hls/douyu.php?id=8814650
X战警,http://fangsong.live/hls/douyu.php?id=9651304
漫威顺序,http://fangsong.live/hls/douyu.php?id=6140589
漫威24H,http://fangsong.live/hls/douyu.php?id=6778960
漫威科幻,http://fangsong.live/hls/douyu.php?id=10630147
科幻动作恐怖搞笑,http://fangsong.live/hls/douyu.php?id=864157
西游记,http://fangsong.live/hls/douyu.php?id=8953746
电影迷小雅,http://fangsong.live/hls/douyu.php?id=9639225
阿斗看电影,https://hw.flv.huya.com/src/94525224-2583571962-11096357083652554752-3503038830-10057-A-0-1-imgplus_2000.m3u8
电影最TOP,https://hw.flv.huya.com/src/94525224-2672048638-11476361513531342848-3153216706-10057-A-0-1_2000.m3u8
史君说剧,http://fangsong.live/hls/douyu.php?id=9419771
止戈电影,http://fangsong.live/hls/douyu.php?id=19863777
虫哥说电影,http://fangsong.live/hls/douyu.php?id=8915074
小片片说大片,http://fangsong.live/hls/douyu.php?id=4258555
牛叔说电影,http://fangsong.live/hls/douyu.php?id=2758565
小猪佩奇,http://fangsong.live/hls/iqiyi.php?id=180048722
宝宝巴士,http://fangsong.live/hls/iqiyi.php?id=180064122
广场舞大全,http://fangsong.live/hls/iqiyi.php?id=380069022
英文儿歌,http://fangsong.live/hls/iqiyi.php?id=180057522
喜羊羊,http://fangsong.live/hls/iqiyi.php?id=180054422
儿歌大全,http://fangsong.live/hls/iqiyi.php?id=380069422
玩具乐园,http://fangsong.live/hls/iqiyi.php?id=180065622
猫和老鼠,http://fangsong.live/hls/iqiyi.php?id=180052722

High运动,#genre#
0无器械练背十分钟,http://10.10.10.1:19999/0Body/0无器械练背十分钟.mp4
0肩颈舒缓七分半,http://10.10.10.1:19999/0Body/0肩颈舒缓七分半.mp4
0驼背改善六分半,http://10.10.10.1:19999/0Body/0驼背改善六分半.wmv
1富贵包12分钟,http://10.10.10.1:19999/0Body/1富贵包12分钟.mp4
一分钟健身男草地波比跳,http://10.10.10.1:19999/0Body/一分钟健身男草地波比跳.mp4
一分钟波比跳“榨干”你的脂肪吧？,http://10.10.10.1:19999/0Body/一分钟波比跳“榨干”你的脂肪吧？.flv
一分钟波比跳暴汗特训,http://10.10.10.1:19999/0Body/一分钟波比跳暴汗特训.mp4
三分钟波比跳,http://10.10.10.1:19999/0Body/三分钟波比跳.mp4
十分钟波比跳音乐,http://10.10.10.1:19999/0Body/十分钟波比跳音乐.mp4
四分钟日本网友波比跳,http://10.10.10.1:19999/0Body/四分钟日本网友波比跳.mp4
科学7分钟,http://10.10.10.1:19999/0Body/科学7分钟.mkv
15分钟HIIT,http://10.10.10.1:19999/0Body/15分钟HIIT.flv
tabata高效燃脂,https://pan.bilnn.com/api/v3/file/sourcejump/YGLXWXfv/TggQsQ69tctRG2IbNsAWUAUzfw9wSCTeiH3RHHzw3xs*
高强度5分钟腹肌运动 快速见效,https://pan.bilnn.com/api/v3/file/sourcejump/BYO8v4T2/qttDGpOFcKMosmJaNJoYdNUn_NSuhPipr3iz0dKiVT0*




影视轮播,#genre#
倚天屠龙记苏有朋,http://fangsong.live/hls/douyu.php?id=11342403
三国演义,http://fangsong.live/hls/douyu.php?id=11602081
雍正王朝,http://fangsong.live/hls/douyu.php?id=11342439
庆余年,http://fangsong.live/hls/douyu.php?id=11352960
金庸剧,http://fangsong.live/hls/douyu.php?id=11602082
天龙八部黄日华,http://fangsong.live/hls/douyu.php?id=11352912
沈腾,http://fangsong.live/hls/douyu.php?id=11601968
国剧修复,http://fangsong.live/hls/iqiyi.php?id=180049922
情感调解,http://fangsong.live/hls/iqiyi.php?id=380066822
家庭剧场,http://fangsong.live/hls/iqiyi.php?id=180064522
收视冠军,http://fangsong.live/hls/iqiyi.php?id=380067022
粤语原声,http://fangsong.live/hls/iqiyi.php?id=380066322
经典纪实,http://fangsong.live/hls/iqiyi.php?id=380068122
老年剧场,http://fangsong.live/hls/iqiyi.php?id=180065822
特种兵,http://fangsong.live/hls/iqiyi.php?id=180057122
英雄联盟,http://fangsong.live/hls/iqiyi.php?id=380067122
票房收割机,http://fangsong.live/hls/iqiyi.php?id=380066222
华语院线,http://fangsong.live/hls/iqiyi.php?id=180056122
周末影院,http://fangsong.live/hls/iqiyi.php?id=180042122
湖南卫视,http://fangsong.live/hls/iqiyi.php?id=180064322
聂远,http://fangsong.live/hls/iqiyi.php?id=180061622
动作电影,http://fangsong.live/hls/iqiyi.php?id=380068422
经典港片,http://fangsong.live/hls/iqiyi.php?id=180055322
电影大片,http://fangsong.live/hls/iqiyi.php?id=180066122
全家福,http://fangsong.live/hls/iqiyi.php?id=180045922
仙侠玄幻,http://fangsong.live/hls/iqiyi.php?id=180063822
纪录片,http://fangsong.live/hls/iqiyi.php?id=380068622
重磅综艺,http://fangsong.live/hls/iqiyi.php?id=180052822
温情影院,http://fangsong.live/hls/iqiyi.php?id=180055922
爱情保卫战,http://fangsong.live/hls/iqiyi.php?id=180063322
杨幂,http://fangsong.live/hls/iqiyi.php?id=180054622
经典重温,http://fangsong.live/hls/iqiyi.php?id=180062422
文化奇谈,http://fangsong.live/hls/iqiyi.php?id=180065122
梦想改造家,http://fangsong.live/hls/iqiyi.php?id=180050022
激情燃烧岁月,http://fangsong.live/hls/iqiyi.php?id=180048022
办公室故事,http://fangsong.live/hls/iqiyi.php?id=180064622
神探狄仁杰,http://fangsong.live/hls/iqiyi.php?id=180056822
张嘉译,http://fangsong.live/hls/iqiyi.php?id=380066422
郭德纲,http://fangsong.live/hls/iqiyi.php?id=180055522
人文社会,http://fangsong.live/hls/iqiyi.php?id=380069522
孙红雷,http://fangsong.live/hls/iqiyi.php?id=180048222
抗战剧场,http://fangsong.live/hls/iqiyi.php?id=180064922
宫廷正剧,http://fangsong.live/hls/iqiyi.php?id=180064022
惊悚午夜场,http://fangsong.live/hls/iqiyi.php?id=180056222
怀旧剧场,http://fangsong.live/hls/iqiyi.php?id=180055222
浙江卫视,http://fangsong.live/hls/iqiyi.php?id=180063422
绝地求生,http://fangsong.live/hls/iqiyi.php?id=380068722
相亲选秀,http://fangsong.live/hls/iqiyi.php?id=180063222
军旅剧场,http://fangsong.live/hls/iqiyi.php?id=180063522
赵丽颖,http://fangsong.live/hls/iqiyi.php?id=180054222
爆笑精选,http://fangsong.live/hls/iqiyi.php?id=180064722
我和我的祖国,http://fangsong.live/hls/iqiyi.php?id=180048122
杨紫,http://fangsong.live/hls/iqiyi.php?id=380066522
老剧超清修复,http://fangsong.live/hls/iqiyi.php?id=180054522
天骐播客,http://fangsong.live/hls/iqiyi.php?id=180064222
名侦探柯南,http://fangsong.live/hls/iqiyi.php?id=180064422
青春剧场,http://fangsong.live/hls/iqiyi.php?id=180063722
军事观察,http://fangsong.live/hls/iqiyi.php?id=380069122
谍战剧场,http://fangsong.live/hls/iqiyi.php?id=380067822
靳东,http://fangsong.live/hls/iqiyi.php?id=180059122
戏曲,http://fangsong.live/hls/iqiyi.php?id=380069622

影视点播,#genre#
枕刀歌之尘世行,https://b.baobuzz.com/m3u8/524836.m3u8?sign=291cf7fa08d612da8988436c5727053e
这个杀手不太冷静TC,https://b.baobuzz.com/m3u8/529380.m3u8?sign=b392ab14cebb0c796c2d8add3c5a6f50
奇迹笨小孩TC,https://b.baobuzz.com/m3u8/529326.m3u8?sign=28be43bb29c7e0bc1d91442c3643f333
水门桥TC,https://cdn2.bzjupinhang.com:65/20220217/PL5PX3Jn/index.m3u8#https://pps.sd-play.com/20220207/D4aqICoi/index.m3u8
长津湖,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5103/121/557/5103121557/media/5103121557_5011656056_56.mp4
我不是药神,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5102/007/565/5102007565/media/5102007565_5007952596_56.mp4
中国机长,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5102/228/226/5102228226/media/5102228226_5010099568_56.mp4
中国医生,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5103/487/609/5103487609/media/5103487609_5010959896_56.mp4
美人鱼,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset//zhengshi/3013/485/643/3013485643/media/3013485643_5008090326_56.mp4.m3u8#http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset//zhengshi/3013/485/643/3013485643/media/3013485643_5008090326_56.mp4.m3u8
龙门飞甲,http://hlsmgspdl.miguvideo.com:8080/depository_sp/asset/zhengshi/5100/035/480/5100035480/media/5100035480_5003348161_56.mp4#http://hlsmgspdl.miguvideo.com:8080/depository_sp/asset/zhengshi/5100/035/480/5100035480/media/5100035480_5003348161_56.mp4
倚天屠龙记之魔教教主,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5103/142/842/5103142842/media/5103142842_5010205635_56.mp4#http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5103/142/842/5103142842/media/5103142842_5010205635_56.mp4
